CNNSpot model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.8707893413775767,0.9793156939378512,0.9899193548387096,0.7522567703109327
advData_CNNSpot_gan_PGD_normal_False,0.217,0.34765082432049565,0.0,0.434
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.6069277108433735,0.9379710813017346,1.0,0.2154308617234469
advData_CNNSpot_gan_MIFGSM_normal_False,0.4795,0.4829995947880955,0.0,0.959
advData_CNNSpot_gan_IFGSM_normal_False,0.4795,0.4839542331113428,0.0,0.959
advData_UnivFD_gan_IFGSM_normal_False_0,0.8642533936651584,0.9778779406863404,0.9889112903225806,0.7402206619859579
advData_CNNSpot_gan_SSA_normal_False,0.0555,0.3073952073156839,0.11,0.001
advData_UnivFD_gan_MIFGSM_normal_False_0,0.6792357968828557,0.9458843905871427,0.9979838709677419,0.362086258776329
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.9688285570638512,0.9932067262535289,0.9506048387096774,0.9869608826479438
resnet_fgsm,0.813,0.9745664431408242,0.667,0.959
CNNSpot model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.8707893413775767,0.9793156939378512,0.9899193548387096,0.7522567703109327
advData_CNNSpot_gan_PGD_normal_False,0.217,0.34765082432049565,0.0,0.434
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.6069277108433735,0.9379710813017346,1.0,0.2154308617234469
advData_CNNSpot_gan_MIFGSM_normal_False,0.4795,0.4829995947880955,0.0,0.959
advData_CNNSpot_gan_IFGSM_normal_False,0.4795,0.4839542331113428,0.0,0.959
advData_UnivFD_gan_IFGSM_normal_False_0,0.8642533936651584,0.9778779406863404,0.9889112903225806,0.7402206619859579
advData_CNNSpot_gan_SSA_normal_False,0.0555,0.3073952073156839,0.11,0.001
advData_UnivFD_gan_MIFGSM_normal_False_0,0.6792357968828557,0.9458843905871427,0.9979838709677419,0.362086258776329
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.9688285570638512,0.9932067262535289,0.9506048387096774,0.9869608826479438
resnet_fgsm,0.813,0.9745664431408242,0.667,0.959
