DCTAnalysis model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.5515334338863751,0.5260307288416246,0.5231854838709677,0.5797392176529589
advData_CNNSpot_gan_PGD_normal_False,0.5235,0.4953629832511333,0.423,0.624
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.517570281124498,0.5000735110245517,0.3209255533199195,0.7134268537074149
advData_CNNSpot_gan_MIFGSM_normal_False,0.561,0.8592473587300542,0.152,0.97
advData_CNNSpot_gan_IFGSM_normal_False,0.617,0.8924817267249432,0.265,0.969
advData_UnivFD_gan_IFGSM_normal_False_0,0.5600804424333836,0.5350891614472979,0.45161290322580644,0.6680040120361084
advData_CNNSpot_gan_SSA_normal_False,0.6185,0.711749387401798,0.302,0.935
advData_UnivFD_gan_MIFGSM_normal_False_0,0.5480140774258422,0.5169335261848724,0.34274193548387094,0.7522567703109327
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.5857214680744093,0.5995239047231835,0.3850806451612903,0.7853560682046138
resnet_fgsm,0.566,0.8942583755428535,0.165,0.967
