Gram model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.5575666163901458,0.5720147735370651,0.5120967741935484,0.6028084252758275
advData_CNNSpot_gan_PGD_normal_False,0.3255,0.41724244628511065,0.194,0.457
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.5005020080321285,0.5027290360090858,0.9979879275653923,0.00501002004008016
advData_CNNSpot_gan_MIFGSM_normal_False,0.8715,0.9458071296313303,0.783,0.96
advData_CNNSpot_gan_IFGSM_normal_False,0.5665,0.6562717117863638,0.172,0.961
advData_UnivFD_gan_IFGSM_normal_False_0,0.5766716943187531,0.5952958695389611,0.5695564516129032,0.5837512537612839
advData_CNNSpot_gan_SSA_normal_False,0.5175,0.525220385460902,0.035,1.0
advData_UnivFD_gan_MIFGSM_normal_False_0,0.510306686777275,0.5625790691889854,0.9737903225806451,0.04914744232698094
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.5706385118149824,0.6043702365579001,0.14415322580645162,0.9949849548645938
resnet_fgsm,0.974,0.9893008567563139,0.989,0.959
