LGrad model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.5339366515837104,0.5590239079189374,0.8266129032258065,0.242728184553661
advData_CNNSpot_gan_PGD_normal_False,0.497,0.4995080587379444,0.891,0.103
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.5281124497991968,0.545798806304894,0.528169014084507,0.5280561122244489
advData_CNNSpot_gan_MIFGSM_normal_False,0.9295,0.9776949172410258,0.914,0.945
advData_CNNSpot_gan_IFGSM_normal_False,0.9225,0.9687067375289264,0.898,0.947
advData_UnivFD_gan_IFGSM_normal_False_0,0.5500251382604324,0.5654774341101346,0.7288306451612904,0.3721163490471414
advData_CNNSpot_gan_SSA_normal_False,0.5275,0.5429669062228524,0.779,0.276
advData_UnivFD_gan_MIFGSM_normal_False_0,0.5399698340874811,0.5543907468211124,0.5362903225806451,0.5436308926780341
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.6314731020613373,0.6638283969001751,0.7147177419354839,0.5486459378134403
resnet_fgsm,0.9485,0.9851109967048226,0.956,0.941
