LNP model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.5052790346907994,0.6398359758450565,0.9949596774193549,0.01805416248746239
advData_CNNSpot_gan_PGD_normal_False,0.505,0.5190219929449995,0.998,0.012
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.5933734939759037,0.6472392862641417,0.7424547283702213,0.44488977955911824
advData_CNNSpot_gan_MIFGSM_normal_False,0.8145,0.8995824424676371,0.872,0.757
advData_CNNSpot_gan_IFGSM_normal_False,0.8745,0.9609193206983957,0.993,0.756
advData_UnivFD_gan_IFGSM_normal_False_0,0.5248868778280543,0.6998490294367046,0.9868951612903226,0.06519558676028084
advData_CNNSpot_gan_SSA_normal_False,0.492,0.47888005993050425,0.903,0.081
advData_UnivFD_gan_MIFGSM_normal_False_0,0.6113624937154349,0.7202582073495473,0.9223790322580645,0.30190571715145437
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.5500251382604324,0.7746266760077544,0.9889112903225806,0.11334002006018054
resnet_fgsm,0.548,0.6149296551399286,0.322,0.774
