RPTC model testing on...
testset,accuracy,avg precision,r_acc,f_acc
progan,0.999875,1.0,0.99975,1.0
stylegan,0.9262226673343348,0.9921863362808512,0.8764813887497913,0.9759639459188784
biggan,0.87275,0.974806505725213,0.785,0.9605
cyclegan,0.6926570779712339,0.8453569365999793,0.8622255866767601,0.5230885692657078
stargan,0.9392196098049025,0.9977723114982725,0.8839419709854928,0.9944972486243121
gaugan,0.5634,0.6634079598918561,0.822,0.3048
stylegan2,0.9377816725087631,0.9910722656204312,0.9180020030045067,0.9575613420130196
whichfaceisreal,0.724,0.9810866109444593,0.455,0.993
ADM,0.5341666666666667,0.6036378477262425,0.875,0.19333333333333333
Glide,0.8193333333333334,0.9162465547112029,0.8713333333333333,0.7673333333333333
Midjourney,0.82625,0.9112037410237657,0.88,0.7725
stable_diffusion_v_1_4,0.9138333333333334,0.9831793022515041,0.8736666666666667,0.954
stable_diffusion_v_1_5,0.9135,0.9824806634333434,0.877,0.95
VQDM,0.8265,0.9271336522067759,0.8713333333333333,0.7816666666666666
wukong,0.8445833333333334,0.9385016935233303,0.8718333333333333,0.8173333333333334
DALLE2,0.9569784892446224,0.9923602598764386,0.9519519519519519,0.962
RPTC model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.5012569130216189,0.5482183375332795,0.9707661290322581,0.034102306920762285
advData_CNNSpot_gan_PGD_normal_False,0.537,0.73837494912136,0.996,0.078
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.5075301204819277,0.5015332137571662,0.18209255533199195,0.8316633266533067
advData_CNNSpot_gan_MIFGSM_normal_False,0.98,0.9926090272487287,0.995,0.965
advData_CNNSpot_gan_IFGSM_normal_False,0.98,0.994328031042517,0.998,0.962
advData_UnivFD_gan_IFGSM_normal_False_0,0.5027652086475616,0.5687622522655287,0.9919354838709677,0.0160481444332999
advData_CNNSpot_gan_SSA_normal_False,0.5135,0.6485037102667544,0.955,0.072
advData_UnivFD_gan_MIFGSM_normal_False_0,0.5027652086475616,0.5368580176364545,0.9616935483870968,0.04613841524573721
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.4927099044746104,0.5260145703170798,0.9294354838709677,0.058174523570712136
resnet_fgsm,0.8985,0.991536749137188,0.819,0.978
