UnivFD model testing on...
testset,accuracy,avg precision,r_acc,f_acc
advData_UnivFD_gan_PGD_normal_False_0,0.2911010558069382,0.3442645376010838,0.2399193548387097,0.3420260782347041
advData_CNNSpot_gan_PGD_normal_False,0.858,0.9768067955829045,0.724,0.992
advData_UnivFD_ProGANSynLSUN_FGSM_earlystop_False_0,0.7223895582329317,0.8302591322948523,0.5613682092555332,0.8827655310621243
advData_CNNSpot_gan_MIFGSM_normal_False,0.729,0.9711044346983513,0.46,0.998
advData_CNNSpot_gan_IFGSM_normal_False,0.8295,0.985948554508862,0.662,0.997
advData_UnivFD_gan_IFGSM_normal_False_0,0.2704876822523881,0.3373221437722141,0.1592741935483871,0.3811434302908726
advData_CNNSpot_gan_SSA_normal_False,0.911,0.9935220945089034,0.823,0.999
advData_UnivFD_gan_MIFGSM_normal_False_0,0.2398190045248869,0.3240684845922945,0.09475806451612903,0.38415245737211634
advData_UnivFD_gan_SSIFGSM_normal_False_0,0.4007038712921066,0.4114928596634009,0.3477822580645161,0.45336008024072216
resnet_fgsm,0.8265,0.9912102473403235,0.656,0.997
